Year,Salary,Tax_SS,Tax_Medicare,RetirementContrib,RetirementContrib_PreTax,RetirementContrib_PostTax,RetirementContrib_Employer,Expense_Healthcare,Tax_Federal,Tax_State,Tax_FedAdj,Tax_StateAdj,Income_NonTaxable,Income_Disposable,Expenses_Personal,Income_JointContrib,Expenses_Joint,Expenses_Rent,Expenses_Mortgage,Income_JointExcess
0.0,158000.0,9796.0,2212.0,25000.0,19000.0,6000.0,9225.0,4320.0,15846.6,6948.995000000001,0.0,0.0,0.0,93876.405,19200.0,74676.405,36000.0,26400.0,0.0,12276.404999999999
1.0,161510.0,10013.619999999999,2261.14,25500.0,19500.0,6000.0,9409.5,4492.8,16195.124000000003,7097.7397,0.0,0.0,0.0,95949.5763,19584.0,76365.57629999999,36720.0,26928.0,0.0,12717.576299999986
2.0,165100.7,10236.2434,2311.4098,29213.15,23213.15,6000.0,10711.634999999998,4672.512000000001,15847.475160000005,7032.124086000002,0.0,0.0,0.0,95787.78555400002,19975.68,75812.10555399998,37454.4,27466.56,0.0,10891.145553999973
3.0,168774.029,10463.989798,2362.8364060000004,30324.5445,23824.5445,6500.0,10937.007150000001,4859.41248,16193.185980400003,7181.656429400002,0.0,0.0,0.0,97388.40340620001,20375.193600000002,77013.20980620003,38203.488000000005,28015.891200000005,0.0,10793.83060620002
4.0,172531.96403,10696.98176986,2415.44749642,36939.280835,23939.280835,13000.0,11167.2209265,5053.7889792000005,16659.394266195995,7369.286969355198,0.0,0.0,0.0,93397.78371396879,20782.697472,72615.08624196879,38967.557759999996,28576.209024,0.0,5071.319457968799
5.0,176376.53139410002,10935.344946434201,2469.2714395174003,37557.459260050004,24557.45926005,13000.0,11402.383187535,5255.9405383680005,17026.34324054444,7527.107954440793,0.0,0.0,0.0,95605.06401474519,21198.351421440002,74406.71259330517,39746.9089152,29147.73320448,0.0,5512.070473625165
6.0,180309.80794798702,11179.208092775196,2524.337311271818,38179.1830378515,25179.1830378515,13000.0,11642.603229065851,5466.178159902721,17404.281660335502,7689.213685068935,0.0,0.0,0.0,97867.40600078135,21622.318449868802,76245.08755091256,40541.847093504,29730.687868569603,0.0,5972.552588838953
7.0,184333.92241073193,11428.70318946538,2580.6749137502475,38304.55852898705,25304.558528987047,13000.0,11887.992842760723,5684.82528629883,17903.463933788098,7889.700556664497,0.0,0.0,0.0,100541.99600177784,22054.76481886618,78487.23118291167,41352.68403537409,30325.301625941,0.0,6809.245521596575
8.0,188451.05671184527,11683.965516134407,2638.314793965834,39933.69528485666,25933.695284856658,14000.0,12138.6663752029,5912.218297750784,18304.150240078096,8060.667103605823,0.0,0.0,0.0,101918.04547545366,22495.860115243504,79422.18536021015,42179.73771608157,30931.807658459817,0.0,6310.639985668764
9.0,192663.44737456783,11945.133737223205,2697.2882632439496,40066.706143402356,26066.706143402356,14000.0,12394.740788561527,6148.707029660815,18826.60665100971,8270.21404393632,0.0,0.0,0.0,104708.79150609148,22945.77731754837,81763.0141885431,43023.3324704032,31550.44381162901,0.0,7189.2379065108835
10.0,196973.38693639945,12212.349990056764,2757.627417109592,40703.707327704426,26703.70732770443,14000.0,12656.335722762964,6394.655310847248,19251.10525473877,8450.444324852331,0.0,0.0,0.0,107203.49731109034,23404.69286389934,83798.80444719097,43883.799119811265,32181.452687861594,0.0,7733.552639518108
11.0,201383.22540789784,12485.759975289668,2819.3651557105704,41344.81854753556,27344.81854753556,14000.0,12923.573559201337,6650.441523281138,19687.924281554355,8635.463168972174,0.0,0.0,0.0,109759.45275555436,23872.786721177326,85886.66603437705,44761.475102207485,32825.08174161882,0.0,8300.109190550735
12.0,205895.3717708094,12765.513049790185,2882.5352047913316,41490.16310396163,27490.16310396163,14000.0,13196.579486027973,6916.459184212385,20247.348231724223,8859.378121390877,0.0,0.0,0.0,112733.97487493878,24350.242455600877,88383.7324193379,45656.704604251645,33481.583376451206,0.0,9245.444438635051
