Year,RothIRAPct,Roth401kPct,Contrib401kPct,ContribIRAPctOfMax,MatchPct401k
1,1,0,0,0,0.03
2,1,0,0,0,0.03
3,1,0,0.1,0,0.03
4,1,0,0.1,0,0.03
5,1,0,0.1,1,0.03
6,1,0,0.1,1,0.03
7,1,0,0.1,1,0.03
8,1,0,0.1,1,0.03
9,1,0,0.1,1,0.03
10,1,0,0.1,1,0.03
11,1,0,0.1,1,0.03
12,1,0,0.1,1,0.03
13,1,0,0.1,1,0.03
14,1,0,0.1,1,0.03
15,1,0,0.1,1,0.03
16,1,0,0.1,1,0.03
17,1,0,0.1,1,0.03
18,1,0,0.1,1,0.03
19,1,0,0.1,1,0.03
20,1,0,0.1,1,0.03
21,1,0,0.1,1,0.03
22,1,0,0.1,1,0.03
23,1,0,0.1,1,0.03
24,1,0,0.1,1,0.03
25,1,0,0.1,1,0.03
26,1,0,0.1,1,0.03
27,1,0,0.1,1,0.03
28,1,0,0.1,1,0.03
29,1,0,0.1,1,0.03
30,1,0,0.1,1,0.03
31,1,0,0.1,1,0.03
32,1,0,0.1,1,0.03
33,1,0,0.1,1,0.03
34,1,0,0.1,1,0.03
35,1,0,0.1,1,0.03
36,1,0,0.1,1,0.03
37,1,0,0.1,1,0.03
38,1,0,0.1,1,0.03
39,1,0,0.1,1,0.03
40,1,0,0.1,1,0.03
41,1,0,0.1,1,0.03
42,1,0,0.1,1,0.03
43,1,0,0.1,1,0.03
44,1,0,0.1,1,0.03
45,1,0,0.1,1,0.03
46,1,0,0.1,1,0.03
47,1,0,0.1,1,0.03
48,1,0,0.1,1,0.03
49,1,0,0.1,1,0.03
50,1,0,0.1,1,0.03
51,1,0,0.1,1,0.03
52,1,0,0.1,1,0.03
53,1,0,0.1,1,0.03
54,1,0,0.1,1,0.03
55,1,0,0.1,1,0.03
56,1,0,0.1,1,0.03
57,1,0,0.1,1,0.03
58,1,0,0.1,1,0.03
59,1,0,0.1,1,0.03
60,1,0,0.1,1,0.03
61,1,0,0.1,1,0.03
62,1,0,0.1,1,0.03
63,1,0,0.1,1,0.03
64,1,0,0.1,1,0.03
65,1,0,0.1,1,0.03
66,1,0,0.1,1,0.03
67,1,0,0.1,1,0.03
68,1,0,0.1,1,0.03
69,1,0,0.1,1,0.03
70,1,0,0.1,1,0.03
71,1,0,0.1,1,0.03
72,1,0,0.1,1,0.03
73,1,0,0.1,1,0.03
74,1,0,0.1,1,0.03
75,1,0,0.1,1,0.03
