Year,RothIRAPct,Roth401kPct,Contrib401kPct,ContribIRAPctOfMax,MatchPct401k
1,1,0,0.2,1,0.075
2,1,0,0.2,1,0.075
3,1,0,0.2,1,0.075
4,1,0,0.2,1,0.075
5,1,0,0.2,1,0.075
6,1,0,0.2,1,0.075
7,1,0,0.2,1,0.075
8,1,0,0.2,1,0.075
9,1,0,0.2,1,0.075
10,1,0,0.2,1,0.075
11,1,0,0.2,1,0.075
12,1,0,0.2,1,0.075
13,1,0,0.2,1,0.075
14,1,0,0.2,1,0.075
15,1,0,0.2,1,0.075
16,1,0,0.2,1,0.075
17,1,0,0.2,1,0.075
18,1,0,0.2,1,0.075
19,1,0,0.2,1,0.075
20,1,0,0.2,1,0.075
21,1,0,0.2,1,0.075
22,1,0,0.2,1,0.075
23,1,0,0.2,1,0.075
24,1,0,0.2,1,0.075
25,1,0,0.2,1,0.075
26,1,0,0.2,1,0.075
27,1,0,0.2,1,0.075
28,1,0,0.2,1,0.075
29,1,0,0.2,1,0.075
30,1,0,0.2,1,0.075
31,1,0,0.2,1,0.075
32,1,0,0.2,1,0.075
33,1,0,0.2,1,0.075
34,1,0,0.2,1,0.075
35,1,0,0.2,1,0.075
36,1,0,0.2,1,0.075
37,1,0,0.2,1,0.075
38,1,0,0.2,1,0.075
39,1,0,0.2,1,0.075
40,1,0,0.2,1,0.075
41,1,0,0.2,1,0.075
42,1,0,0.2,1,0.075
43,1,0,0.2,1,0.075
44,1,0,0.2,1,0.075
45,1,0,0.2,1,0.075
46,1,0,0.2,1,0.075
47,1,0,0.2,1,0.075
48,1,0,0.2,1,0.075
49,1,0,0.2,1,0.075
50,1,0,0.2,1,0.075
51,1,0,0.2,1,0.075
52,1,0,0.2,1,0.075
53,1,0,0.2,1,0.075
54,1,0,0.2,1,0.075
55,1,0,0.2,1,0.075
56,1,0,0.2,1,0.075
57,1,0,0.2,1,0.075
58,1,0,0.2,1,0.075
59,1,0,0.2,1,0.075
60,1,0,0.2,1,0.075
61,1,0,0.2,1,0.075
62,1,0,0.2,1,0.075
63,1,0,0.2,1,0.075
64,1,0,0.2,1,0.075
65,1,0,0.2,1,0.075
66,1,0,0.2,1,0.075
67,1,0,0.2,1,0.075
68,1,0,0.2,1,0.075
69,1,0,0.2,1,0.075
70,1,0,0.2,1,0.075
71,1,0,0.2,1,0.075
72,1,0,0.2,1,0.075
73,1,0,0.2,1,0.075
74,1,0,0.2,1,0.075
75,1,0,0.2,1,0.075
