Year,PIA_FirstBend,PIA_SecondBend,MFB_FirstBend,MFB_SecondBend,MFB_ThirdBend,AverageIncome
1979,180.000,1085.000,230.000,332.000,433.000,11479.460
1980,194.000,1171.000,248.000,358.000,467.000,12513.460
1981,211.000,1274.000,270.000,390.000,508.000,13773.100
1982,230.000,1388.000,294.000,425.000,554.000,14531.340
1983,254.000,1528.000,324.000,468.000,610.000,15239.240
1984,267.000,1612.000,342.000,493.000,643.000,16135.070
1985,280.000,1691.000,358.000,517.000,675.000,16822.510
1986,297.000,1790.000,379.000,548.000,714.000,17321.820
1987,310.000,1866.000,396.000,571.000,745.000,18426.510
1988,319.000,1922.000,407.000,588.000,767.000,19334.040
1989,339.000,2044.000,433.000,626.000,816.000,20099.550
1990,356.000,2145.000,455.000,656.000,856.000,21027.980
1991,370.000,2230.000,473.000,682.000,890.000,21811.600
1992,387.000,2333.000,495.000,714.000,931.000,22935.420
1993,401.000,2420.000,513.000,740.000,966.000,23132.670
1994,422.000,2545.000,539.000,779.000,1016.000,23753.530
1995,426.000,2567.000,544.000,785.000,1024.000,24705.660
1996,437.000,2635.000,559.000,806.000,1052.000,25913.900
1997,455.000,2741.000,581.000,839.000,1094.000,27426.000
1998,477.000,2875.000,609.000,880.000,1147.000,28861.440
1999,505.000,3043.000,645.000,931.000,1214.000,30469.840
2000,531.000,3202.000,679.000,980.000,1278.000,32154.820
2001,561.000,3381.000,717.000,1034.000,1349.000,32921.920
2002,592.000,3567.000,756.000,1092.000,1424.000,33252.090
2003,606.000,3653.000,774.000,1118.000,1458.000,34064.950
2004,612.000,3689.000,782.000,1129.000,1472.000,35648.550
2005,627.000,3779.000,801.000,1156.000,1508.000,36952.940
2006,656.000,3955.000,838.000,1210.000,1578.000,38651.410
2007,680.000,4100.000,869.000,1255.000,1636.000,40405.480
2008,711.000,4288.000,909.000,1312.000,1711.000,41334.970
2009,744.000,4483.000,950.000,1372.000,1789.000,40711.610
2010,761.000,4586.000,972.000,1403.000,1830.000,41673.830
2011,749.000,4517.000,957.000,1382.000,1803.000,42979.610
2012,767.000,4624.000,980.000,1415.000,1845.000,44321.670
2013,791.000,4768.000,1011.000,1459.000,1903.000,44888.160
2014,816.000,4917.000,1042.000,1505.000,1962.000,46481.520
2015,826.000,4980.000,1056.000,1524.000,1987.000,48098.630
2016,856.000,5157.000,1093.000,1578.000,2058.000,48642.150
2017,885.000,5336.000,1131.000,1633.000,2130.000,50321.890
2018,895.000,5397.000,1144.000,1651.000,2154.000,52145.800
2019,926.000,5583.000,1184.000,1708.000,2228.000,54099.990
2020,960.000,5785.000,1226.000,1770.000,2309.000,55628.600
2021,996.000,6002.000,1272.000,1837.000,2395.000,56741.172
2022,1024.000,6172.000,1308.000,1889.000,2463.000,57875.995
2023,1044.480,6295.440,1334.160,1926.780,2512.260,59033.515
2024,1065.370,6421.349,1360.843,1965.316,2562.505,60214.186
2025,1086.677,6549.776,1388.060,2004.622,2613.755,61418.469
2026,1108.411,6680.771,1415.821,2044.714,2666.030,62646.839
2027,1130.579,6814.387,1444.138,2085.609,2719.351,63899.776
2028,1153.190,6950.674,1473.020,2127.321,2773.738,65177.771
2029,1176.254,7089.688,1502.481,2169.867,2829.213,66481.326
2030,1199.779,7231.482,1532.530,2213.265,2885.797,67810.953
2031,1223.775,7376.111,1563.181,2257.530,2943.513,69167.172
2032,1248.250,7523.634,1594.445,2302.680,3002.383,70550.515
2033,1273.215,7674.106,1626.334,2348.734,3062.431,71961.526
